id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-030,かつラーメン,japan_local_ramen,日本,秋田県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,meat_ingredient|rich|soup|tempura
jp-031,秋田天ぷら中華,japan_local_ramen,日本,秋田県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|tempura
jp-036,とりもつラーメン,japan_local_ramen,日本,山形県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,meat_ingredient|offal|rich|soup
jp-063,ホワイトガウラーメン,japan_local_ramen,日本,千葉県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,dairy|rich|soup
jp-068,茶ラーメン,japan_local_ramen,日本,埼玉県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|tea
jp-072,つけ麺,japan_local_ramen,日本,東京都,medium,5,brothSeasoning|ingredients,broth_seasoning_unknown|ingredients_unknown|possible_overlap_with_standard_style,スープ・だし・たれを確認 / 代表的な具材を確認 / 定番スタイルとの重複・役割を確認,dipping|rich|thick_noodle
jp-092,もつラーメン,japan_local_ramen,日本,新潟県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,meat_ingredient|offal|rich|soup
jp-100,おやべホワイトラーメン,japan_local_ramen,日本,富山県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,dairy|rich|soup
jp-117,富士つけナポリタン,japan_local_ramen,日本,静岡県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|vegetables
jp-118,台湾ラーメン,japan_local_ramen,日本,愛知県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,garlic|meat_ingredient|soup|spicy
jp-119,台湾まぜそば,japan_local_ramen,日本,愛知県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,brothless|egg|garlic|meat_ingredient|rich|spicy
jp-122,玉子とじラーメン,japan_local_ramen,日本,愛知県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,egg|soup
jp-143,トンカツラーメン,japan_local_ramen,日本,岡山県,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,meat_ingredient|rich|soup|tempura
world-024,トゥクパ,world_noodle_soup,チベット・ネパール・インド,,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,hot|meat_ingredient|soup|vegetables
world-027,アーシュ・レシュテ,world_noodle_soup,イラン,,medium,5,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,beans|dairy|fermented|herbal|rich|soup
jp-005,カレーラーメン,japan_local_ramen,日本,北海道,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,curry|soup|spicy
jp-016,濃厚津軽煮干しラーメン,japan_local_ramen,日本,青森県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,dashi_forward|fermented|miso|niboshi|rich|salt|seafood_forward|soup|soy_sauce|umami_forward
jp-032,辛味噌ラーメン,japan_local_ramen,日本,宮城県,medium,4,noodle|ingredients,noodle_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,fermented|miso|rich|soup|spicy
